Timestamp,Hennings
2012-09-16T00:00:00-07:00 Los_Angeles,111.14579335848488kW
2012-09-17T00:00:00-07:00 Los_Angeles,135.8923261165619kW
2012-09-18T00:00:00-07:00 Los_Angeles,142.53635644912725kW
2012-09-19T00:00:00-07:00 Los_Angeles,140.7405494848887kW
2012-09-20T00:00:00-07:00 Los_Angeles,140.52314718564352kW
2012-09-21T00:00:00-07:00 Los_Angeles,140.1254340012868kW
2012-09-22T00:00:00-07:00 Los_Angeles,117.67852306365964kW
2012-09-23T00:00:00-07:00 Los_Angeles,117.77225287755333kW
2012-09-24T00:00:00-07:00 Los_Angeles,139.75403030713395kW
2012-09-25T00:00:00-07:00 Los_Angeles,141.93194492657977kW
2012-09-26T00:00:00-07:00 Los_Angeles,139.35150814056396kW
2012-09-27T00:00:00-07:00 Los_Angeles,138.33231385548913kW
2012-09-28T00:00:00-07:00 Los_Angeles,135.90880521138516kW
2012-09-29T00:00:00-07:00 Los_Angeles,99.58119821548462kW
2012-09-30T00:00:00-07:00 Los_Angeles,103.32451613744098kW
2012-10-01T00:00:00-07:00 Los_Angeles,125.77992033958438kW
2012-10-02T00:00:00-07:00 Los_Angeles,130.07983851432797kW
2012-10-03T00:00:00-07:00 Los_Angeles,137.18522691726685kW
2012-10-04T00:00:00-07:00 Los_Angeles,139.11048030853271kW
2012-10-05T00:00:00-07:00 Los_Angeles,133.7352495193481kW
2012-10-06T00:00:00-07:00 Los_Angeles,112.1165489355723kW
2012-10-07T00:00:00-07:00 Los_Angeles,109.88673218091327kW
2012-10-08T00:00:00-07:00 Los_Angeles,111.0417560736338kW
2012-10-09T00:00:00-07:00 Los_Angeles,138.51959164937333kW
2012-10-10T00:00:00-07:00 Los_Angeles,142.00653855005902kW
2012-10-11T00:00:00-07:00 Los_Angeles,141.47128725051886kW
2012-10-12T00:00:00-07:00 Los_Angeles,141.8209381898245kW
2012-10-13T00:00:00-07:00 Los_Angeles,121.1249462763469kW
2012-10-14T00:00:00-07:00 Los_Angeles,119.16739130020143kW
2012-10-15T00:00:00-07:00 Los_Angeles,143.36988011995945kW
2012-10-16T00:00:00-07:00 Los_Angeles,135.69364929199216kW
2012-10-17T00:00:00-07:00 Los_Angeles,138.0931357542673kW
2012-10-18T00:00:00-07:00 Los_Angeles,141.35051115353897kW
2012-10-19T00:00:00-07:00 Los_Angeles,140.6078227361043kW
2012-10-20T00:00:00-07:00 Los_Angeles,123.12704563140869kW
2012-10-21T00:00:00-07:00 Los_Angeles,121.53214812278748kW
2012-10-22T00:00:00-07:00 Los_Angeles,146.4515962600708kW
2012-10-23T00:00:00-07:00 Los_Angeles,144.15671491622928kW
2012-10-24T00:00:00-07:00 Los_Angeles,147.68964982032782kW
2012-10-25T00:00:00-07:00 Los_Angeles,145.43965729077652kW
2012-10-26T00:00:00-07:00 Los_Angeles,141.54655075073242kW
2012-10-27T00:00:00-07:00 Los_Angeles,120.40306035677591kW
2012-10-28T00:00:00-07:00 Los_Angeles,117.66817442576087kW
2012-10-29T00:00:00-07:00 Los_Angeles,144.4555207888285kW
2012-10-30T00:00:00-07:00 Los_Angeles,141.8979215621948kW
2012-10-31T00:00:00-07:00 Los_Angeles,141.5284667809804kW
2012-11-01T00:00:00-07:00 Los_Angeles,141.771804412206kW
2012-11-02T00:00:00-07:00 Los_Angeles,141.95823677380878kW
2012-11-03T00:00:00-07:00 Los_Angeles,122.6462223529816kW
2012-11-04T00:00:00-07:00 Los_Angeles,124.57835739135736kW
2012-11-05T00:00:00-08:00 Los_Angeles,145.29056922594705kW
2012-11-06T00:00:00-08:00 Los_Angeles,147.02145028114322kW
2012-11-07T00:00:00-08:00 Los_Angeles,145.34458708763117kW
2012-11-08T00:00:00-08:00 Los_Angeles,146.580412308375kW
2012-11-09T00:00:00-08:00 Los_Angeles,142.91338650385546kW
2012-11-10T00:00:00-08:00 Los_Angeles,118.39745831489566kW
2012-11-11T00:00:00-08:00 Los_Angeles,124.88791545232137kW
2012-11-12T00:00:00-08:00 Los_Angeles,129.67114337285355kW
2012-11-13T00:00:00-08:00 Los_Angeles,151.7639656861623kW
2012-11-14T00:00:00-08:00 Los_Angeles,149.50995477040604kW
2012-11-15T00:00:00-08:00 Los_Angeles,146.3461260795593kW
2012-11-16T00:00:00-08:00 Los_Angeles,147.75575208663938kW
2012-11-17T00:00:00-08:00 Los_Angeles,121.95115073521936kW
2012-11-18T00:00:00-08:00 Los_Angeles,123.37636828422546kW
2012-11-19T00:00:00-08:00 Los_Angeles,150.44573473930356kW
2012-11-20T00:00:00-08:00 Los_Angeles,148.4678153991699kW
2012-11-21T00:00:00-08:00 Los_Angeles,147.76180656750995kW
