"Date","HDD_daily","CDD_daily","GHI_sum","Humidity_avg"
2017-04-01,9.60833333333333,0,3235,81.9991666666667
2017-04-02,10.6625,0,5550,75.1441666666667
2017-04-03,11.5625,0,4926,70.92625
2017-04-04,10.2083333333333,0,2026,76.145
2017-04-05,9.125,0,2300,87.97375
2017-04-06,9.07916666666667,0,1910,82.0904166666667
2017-04-07,9.03333333333333,0,1878,80.1745833333333
2017-04-08,10.9166666666667,0,2653,85.2908333333333
2017-04-09,10.9166666666667,0,3651,78.4958333333333
2017-04-10,10.6458333333333,0,2831,82.9379166666667
2017-04-11,9.85,0,5847,75.9583333333333
2017-04-12,9.19166666666667,0,1913,81.4675
2017-04-13,9.89166666666667,0,2986,83.0958333333333
2017-04-14,10.425,0,5479,82.0325
2017-04-15,10.55,0,6113,78.2320833333333
2017-04-16,9.975,0,5047,75.2904166666667
2017-04-17,7.975,0,2538,82.8208333333333
2017-04-18,7.97083333333333,0,3352,81.2820833333333
2017-04-19,8.10416666666667,0,2905,82.7558333333333
2017-04-20,7.95416666666667,0,5213,77.6241666666667
2017-04-21,7.725,0,6833,74.8975
2017-04-22,7.48333333333333,0,2256,79.85
2017-04-23,8.725,0,3868,85.6133333333333
2017-04-24,8.21666666666667,0,5879,76.28375
2017-04-25,8.43333333333333,0,4223,80.8658333333333
2017-04-26,7.95,0,5266,77.7795833333333
2017-04-27,8.54583333333333,0,6484,74.5195833333333
2017-04-28,7.45,0,6890,71.64875
2017-04-29,9.09583333333333,0,1288,83.4025
2017-04-30,7.56666666666667,0,7208,74.7141666666667
2017-05-01,8.59583333333333,0,3272,76.77375
2017-05-02,6.8625,0,5428,73.8483333333333
2017-05-03,4.69583333333333,0,1373,87.6554166666667
2017-05-04,2.5625,0.75,6625,77.3079166666667
2017-05-05,5.61666666666667,0,3389,79.0233333333333
2017-05-06,7.94583333333333,0,7621,71.7066666666667
2017-05-07,6.62083333333333,0,7720,65.0825
2017-05-08,5.42916666666667,0,4464,70.47
2017-05-09,4.8625,0,5637,68.205
2017-05-10,3.37083333333333,0,4481,71.0891666666667
2017-05-11,5.35833333333333,0,1811,81.1704166666667
2017-05-12,7.7875,0,5229,77.3020833333333
2017-05-13,7.08333333333333,0,5423,72.225
2017-05-14,6.87916666666667,0,4525,74.4854166666667
2017-05-15,8.74583333333333,0,2969,81.6891666666667
2017-05-16,8.85833333333333,0,5563,80.0804166666667
2017-05-17,5.82916666666667,0,3368,78.79375
2017-05-18,4.30833333333333,0,5255,71.6620833333333
2017-05-19,3.8875,0,4811,71.8125
2017-05-20,2.3,0.504166666666666,8087,66.7320833333333
2017-05-21,1.8625,1.31666666666667,6692,65.16625
2017-05-22,0.891666666666667,2.9625,7526,52.19875
2017-05-23,1.81666666666667,0.620833333333333,8228,63.9404166666667
2017-05-24,4.575,0,7558,69.8991666666667
2017-05-25,2.5,0.329166666666667,7987,70.16
2017-05-26,1.1375,1.91666666666667,8223,62.6858333333333
2017-05-27,0.545833333333333,3.16666666666667,8092,59.905
2017-05-28,0.2125,3.72916666666667,8262,56.63
2017-05-29,0.8,2.24166666666667,8000,67.4829166666667
2017-05-30,3.21666666666667,0,1811,81.7108333333333
2017-05-31,3.05416666666667,0.0208333333333333,4327,77.7316666666667
2017-06-01,2.64166666666667,0,3536,78.9508333333333
2017-06-02,2.5875,0.0125,5956,75.6416666666667
